York Consulting – Information to aid learner decisions – November 2010,,,,,,,
  ,,,,,,,
"Q1 Summary : From the list below, please you can indicate how useful you would find the following information when making a decision about",,,,,,,
which provider and/or which course/programme of study to undertake?,,,,,,,
Base: All respondents,,,,,,,
,SUMMARY,,,,,,
,Description of course/programme (e.g. what subject/topics will be covered),"Location of where the course/programme takes place (e.g. college campus, location of provider)",How to get to the location of the course/programme by car,How to get to the location of the course/programme by public transport,Availability and cost of parking at the provider,The length of the course/programme (e.g. the number of months and years it lasts),The number of weekly hours of teaching on the course/programme
Sig. Level: 95%,a,b,c,d,e,f,g
Sig. Level: 99%,A,B,C,D,E,F,G
Total,1052,1052,1052,1052,1052,1052,1052
,100%,100%,100%,100%,100%,100%,100%
Very useful (5.0),810,614,229,394,210,672,517
,77%,58%,22%,37%,20%,64%,49%
,BCDEFG,CDEG,,CE,,BCDEG,CDE
Somewhat useful (4.0),147,254,247,305,250,246,345
,14%,24%,23%,29%,24%,23%,33%
,,A,A,AbCEF,A,A,ABCEF
Useful (3.0),77,144,321,236,269,111,138
,7%,14%,31%,22%,26%,11%,13%
,,Af,ABDeFG,ABFG,ABFG,A,A
Not particularly useful (2.0),11,34,187,94,203,16,35
,1%,3%,18%,9%,19%,2%,3%
,,Af,ABDFG,ABFG,ABDFG,,AF
Not useful at all (1.0),1,2,59,17,95,2,10
,*%,*%,6%,2%,9%,*%,1%
,,,ABDFG,ABF,ABCDFG,,Abf
Don't know,6,4,9,6,25,5,7
,1%,*%,1%,1%,2%,*%,1%
,,,,,ABCDFG,,
Mean,4.68,4.38,3.38,3.92,3.27,4.5,4.27
,BCDEFG,CDEG,e,CE,,BCDEG,CDE
Std. dev.,0.7,0.9,1.2,1.1,1.2,0.8,0.9
"Columns Tested: A,B,C,D,E,F,G",,,,,,
08/11/11                                                                                                                               Page 1,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,
 ,,,,,,
"Q1 Summary : From the list below, please you can indicate how useful you would find the following information when making a decision about",,,,,,
which provider and/or which course/programme of study to undertake?,,,,,,
Base: All respondents,,,,,,

,The balance of coursework and exams on the course/programme,The entry qualifications/requirements you would need to get on the course/programme,How much it would cost for you to do the course/programme,Whether there would be any financial support available to you to pay for the course/programme,Whether there would be any other costs of undertaking the course/programme (e.g. field or study trips),"A description of the facilities at the provider (e.g. IT, library, crèche/nursery, facilities for religious faiths)"
Sig. Level: 95%,a,b,c,d,e,f
Sig. Level: 99%,A,B,C,D,E,F
Total,1052,1052,1052,1052,1052,1052
,100%,100%,100%,100%,100%,100%
Very useful (5.0),548,805,720,630,491,351
,52%,77%,68%,60%,47%,33%
,eF,ACDEF,ADEF,AEF,F,
Somewhat useful (4.0),343,163,196,235,323,341
,33%,15%,19%,22%,31%,32%
,BCD,,,Bc,BCD,BCD
Useful (3.0),119,63,94,120,160,254
,11%,6%,9%,11%,15%,24%
,B,,b,B,ABCd,ABCDE
Not particularly useful (2.0),34,12,24,43,47,81
,3%,1%,2%,4%,4%,8%
,B,,b,Bc,BC,ABCDE
Not useful at all (1.0),3,4,10,16,20,17
,*%,*%,1%,2%,2%,2%
,,,,AB,AB,AB
Don't know,5,5,8,8,11,8
,*%,*%,1%,1%,1%,1%
Mean,4.34,4.67,4.52,4.36,4.17,3.89
,EF,ACDEF,ADEF,EF,F,
Std. dev.,0.8,0.7,0.8,0.9,1,1,,,,,,
"Columns Tested: A,B,C,D,E,F",,,,,,,,,,,,
08/11/11                                                                                                                               Page 2,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,
 ,,,,,,,,,,,,
Q1a : Which did you find the most useful?,,,,,,,,,,,,
Base: All those who said that at least one of the items from the list was useful,,,,,,,,,,,,
,,Sample groups ,,,,,Gender ,,Age ,,,
,Total,Under 16s,Not white British,Those with a disability,Social grade C2DE,Baseline,Male,Female,Under 16,16 – 18,19 – 25,Over 25
Sig. Level: 95%,,a,b,c,d,e,f,g,h,i,j,k
Sig. Level: 99%,,A,B,C,D,E,F,G,H,I,J,K
Total,1047,243,252,218,365,295,291,756,243,502,99,203
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Description of course/programme (e.g. what subject/topics will be covered),706,162,161,145,224,214,185,521,162,338,62,144
,67%,67%,64%,67%,61%,73%,64%,69%,67%,67%,63%,71%
,,,,,,bD,,,,,,
The entry qualifications/requirements you would need to get on the course/programme,87,22,17,16,27,28,25,62,22,56,6,3
,8%,9%,7%,7%,7%,9%,9%,8%,9%,11%,6%,1%
,,,,,,,,,K,K,k,
"Location of where the course/programme takes place (e.g. college campus, location of provider)",56,10,14,13,25,14,18,38,10,27,5,14
,5%,4%,6%,6%,7%,5%,6%,5%,4%,5%,5%,7%
How much it would cost for you to do the course/programme,38,10,12,8,16,8,10,28,10,11,6,11
,4%,4%,5%,4%,4%,3%,3%,4%,4%,2%,6%,5%
,,,,,,,,,,,i,i
How to get to the location of the course/programme by public transport,33,11,14,9,19,3,16,17,11,14,3,5
,3%,5%,6%,4%,5%,1%,5%,2%,5%,3%,3%,2%
,,e,E,e,E,,G,,,,,
Whether there would be any financial support available to you to pay for the course/programme,33,3,7,11,19,5,8,25,3,17,4,9
,3%,1%,3%,5%,5%,2%,3%,3%,1%,3%,4%,4%
,,,,ae,ae,,,,,,,h
The balance of coursework and exams on the course/programme,24,7,8,2,10,6,3,21,7,14,1,2
,2%,3%,3%,1%,3%,2%,1%,3%,3%,3%,1%,1%
The length of the course/programme (e.g. the number of months and years it lasts),22,9,6,3,6,5,7,15,9,7,4,2
,2%,4%,2%,1%,2%,2%,2%,2%,4%,1%,4%,1%
,,,,,,,,,i,,,
The number of weekly hours of teaching on the course/programme,15,2,4,6,6,3,4,11,2,3,4,6
,1%,1%,2%,3%,2%,1%,1%,1%,1%,1%,4%,3%
,,,,,,,,,,,hI,i
"A description of the facilities at the provider (e.g. IT, library, crèche/nursery, facilities for religious faiths)",13,2,3,2,5,5,5,8,2,7,2,2
,1%,1%,1%,1%,1%,2%,2%,1%,1%,1%,2%,1%
"Columns Tested: A,B,C,D,E - F,G - H,I,J,K",,,,,,,,,,,,
08/11/11                                                                                                                               Page 3,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,
 ,,,,,,,,,,,,
Q1a : Which did you find the most useful?,,,,,,,,,,,,
Base: All those who said that at least one of the items from the list was useful,,,,,,,,,,,,
,,Sample groups ,,,,,Gender ,,Age ,,,
,Total,Under 16s,Not white British,Those with a disability,Social grade C2DE,Baseline,Male,Female,Under 16,16 – 18,19 – 25,Over 25
